Feature1,Feature2,Feature3,Feature4,Feature5,Target
52,55.15427434352692,46.297783943511966,0,19.548391571662492,0
93,23.55439766955899,54.85551299762886,1,5.603556094421597,0
15,54.86125954092192,54.354321213255865,0,13.89784716495461,0
72,44.22376579375525,48.99377729288119,1,14.04632986855017,1
61,39.84616999541062,42.10158230771439,1,1.0883751880671801,1
21,59.175144332613016,14.206998249752441,0,23.284456808676318,1
83,65.46499283743927,18.081435704730687,0,7.0370748975675435,1
87,63.96920178674298,54.927709426353964,0,17.5133255752333,0
75,37.41173715166042,40.321452982979494,0,3.857354261645083,0
75,45.36181436223178,10.459852580831482,0,22.58790514545926,0
88,54.96895147105346,15.073577143301605,0,4.929884540601712,1
24,64.63317690683539,43.17508845540279,0,0.10896806615175478,0
3,42.81238643232065,10.253079192310935,0,23.579072969624537,1
22,47.215115350042744,18.04040257087493,1,0.9572561054847526,1
53,33.40497538990958,37.436689468329305,0,3.8465363338503886,0
2,32.05690063878994,44.59475988463466,1,29.969723831882856,0
88,62.18788733591297,42.59806297513003,1,30.079495401039896,0
30,70.34360042856234,21.213465473027988,0,8.519972910552639,1
38,48.91984817629499,45.6089610673768,0,9.992300803905247,0
2,,21.862454374840006,0,5.950146636228576,1
64,55.424540375714514,26.269984907963387,0,3.4702277874619702,0
60,40.323203680923136,47.32457025590121,1,3.9848633455038973,1
21,55.42093408262621,42.48164495236073,1,11.163235799285063,1
33,73.07054849698955,52.4611705247089,1,13.958378736630772,0
76,49.46260941335073,42.88064461501717,0,15.681954162211486,1
58,73.4696548372101,38.41543016677358,0,15.588310318487418,1
22,10.703823438653835,14.683738391404624,0,0.9563694654031945,0
89,62.32853756562836,28.385790152971676,1,6.82049596573356,1
49,51.30570602357257,23.260118384086272,0,0.5928170644873779,0
91,45.51488974301199,22.199482168954177,0,7.974613156953929,1
59,51.37641164803254,58.65052773762228,0,5.825552749872836,0
42,20.186466280986608,29.65488623333802,0,21.866186642208014,0
92,46.70492168243732,54.602327758855665,0,4.321916194678851,1
60,55.3566885726762,41.556931299863145,1,1.2450597755245087,1
80,72.16841067112274,49.74056517708242,0,1.5430765454211937,1
15,42.22594672589529,35.1318546552596,0,14.334305470790937,1
62,37.87259595660218,38.845194231317954,1,,1
62,42.47364434623195,34.625884690943195,1,1.0660871224538544,0
47,,19.762149389902227,1,0.8785552166860509,1
62,54.93126664489527,46.12260576307526,1,12.072084716530998,0
51,42.05359694349442,24.03861812204279,0,0.7554608952579713,0
55,,11.215798321572692,0,17.251858538085813,1
64,,42.27361479535839,0,12.24999753130005,0
3,64.52967485799334,18.855533970352447,1,0.8484875058031206,0
51,39.469203591839715,57.02292921764572,0,,0
7,45.085067801033475,57.696428850129365,0,43.15458562058092,0
21,44.118377703017636,55.743219511022424,1,4.688375825522896,1
73,28.04727577801822,28.50793501277222,0,4.630552604753125,0
